SITE,METER_READ_DATE,VOLUME_CONSUMPTION
Site3,20191120,15
Site3,20191121,10
Site3,20191122,12
Site3,20191123,11
Site3,20191124,17
Site3,20191125,14
Site3,20191126,8
Site3,20191127,9
Site3,20191128,8
Site3,20191129,9
Site3,20191130,10
Site3,20191201,14
Site3,20191202,16
Site3,20191203,10
Site3,20191204,10
Site3,20191205,11
Site3,20191206,11
Site3,20191207,9
Site3,20191208,11
Site3,20191209,15
Site3,20191210,8
Site3,20191211,12
Site3,20191212,13
Site3,20191215,13
Site3,20191216,16
Site3,20191217,10
Site3,20191218,10
Site3,20191221,14
Site3,20191222,11
Site3,20191223,15
Site3,20191224,11
Site3,20191225,15
Site3,20191226,16
Site3,20191227,17
Site3,20191228,14
Site3,20191229,14
Site3,20191230,14
Site3,20191231,14
Site3,20200101,16
Site3,20200102,17
Site3,20200103,15
Site3,20200104,14
Site3,20200105,14
Site3,20200106,15
Site3,20200107,14
Site3,20200108,15
Site3,20200109,14
Site3,20200110,12
Site3,20200116,13
Site3,20200117,15
Site3,20200118,14
Site3,20200119,13
Site3,20200120,14
Site3,20200121,14
Site3,20200122,14
Site3,20200123,15
Site3,20200124,14
Site3,20200125,13
Site3,20200128,15
Site3,20200203,13
Site3,20200204,13
Site3,20200205,15
Site3,20200206,12
Site3,20200207,12
Site3,20200208,13
Site3,20200209,12
Site3,20200210,16
Site3,20200211,13
Site3,20200212,13
Site3,20200213,12
Site3,20200214,14
Site3,20200215,13
Site3,20200216,15
Site3,20200217,14
Site3,20200218,13
Site3,20200219,14
Site3,20200220,15
Site3,20200221,15
Site3,20200222,11
Site3,20200223,11
Site3,20200224,10
Site3,20200225,11
Site3,20200226,10
Site3,20200227,11
Site3,20200228,11
Site3,20200229,12
Site3,20200301,11
Site3,20200302,11
Site3,20200303,11
Site3,20200304,11
Site3,20200305,11
Site3,20200306,12
Site3,20200307,10
Site3,20200308,10
Site3,20200309,10
Site3,20200310,11
Site3,20200311,10
Site3,20200312,9
Site3,20200313,9
Site3,20200314,10
Site3,20200315,14
Site3,20200316,14
Site3,20200317,9
Site3,20200318,9
Site3,20200319,10
Site3,20200320,10
Site3,20200321,10
Site3,20200322,8
Site3,20200323,9
Site3,20200324,8
Site3,20200325,8
Site3,20200326,8
Site3,20200327,8
Site3,20200328,9
Site3,20200329,10
Site3,20200330,12
Site3,20200331,12
Site3,20200401,8
